r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
199.22325635, 10000.07362077, 6.08055078, 6.09984037, 4.58979004, 26305.15961529, 1.62003778, 0.00169507, 30.74579640, 1.58216052, 993.72781292, 935.69615743, 184.83595230, 6.02423129, 6.06954299, 4.50593338, 786.55074810, 149.06854825, 97.23439528, 346.92041264,  -608.44370187
230.46894478, 10000.07462821, 6.09731777, 6.05192340, 4.50015634, 26305.15474386, 0.24892077, 0.05971435, 26.44650669, 1.58199503, 738.92492871, 936.37499494, 334.37652783, 6.04532919, 6.03543218, 4.57515348, 760.14165964, 659.36266883, 99.10468723, 325.99026570,  -744.56606299
215.93908718, 10000.04681086, 6.07569803, 6.04032786, 4.50142398, 26305.21523338, 0.28816134, 0.06763990, 92.98058948, 1.58116272, 835.93099773, 888.57684209, 307.56171192, 6.02303798, 6.05119141, 4.56620746, 751.75932213, 571.15207027, 48.47448955, 301.58877519, -614.95120632
118.51685482, 10000.07892214, 6.09678267, 6.01574051, 4.56806662, 26305.20049663, 0.88214415, 0.00334414, 43.19576901, 1.56117093, 885.23578052, 944.56294020, 221.18699703, 6.05279453, 6.06598916, 4.54735611, 881.58923446, 63.85544711, 49.21180754, 443.86007123, -682.77573207
35.10079031, 10000.00791480, 6.06568356, 6.02725076, 4.57037296, 26305.20066345, 0.45249480, 0.02226699, 30.49097358, 1.52816827, 974.78824497, 764.87440669, 200.40264267, 6.02826596, 6.05642721, 4.58742414, 771.53346890, 47.14856475, 84.71416937, 344.64799843, -455.86782379
180.66778402, 10000.01970706, 6.00997603, 6.05420624, 4.50550450, 26305.23145844, 3.41404525, 0.00496861, 32.83921765, 1.56739870, 749.31890945, 986.94313477, 186.74676044, 6.03893482, 6.00976593, 4.54860807, 828.57360072, 293.89118238, 145.47137547, 128.61973371, -665.89897381
259.93771079, 10000.06831694, 6.02211846, 6.04829161, 4.58188353, 26305.17253112, 0.66633060, 0.02264168, 24.10262408, 1.52988207, 745.64953690, 740.35137670, 304.58065853, 6.03707849, 6.08067970, 4.58657821, 883.63044596, 72.87976262, 27.69424337, 101.88810308, -541.52584412
71.96652499, 10000.05786984, 6.09588935, 6.02433490, 4.59691750, 26305.19438618, 14.79412317, 0.00055336, 38.21793818, 1.54782919, 916.55090593, 930.22217000, 282.68583049, 6.01762865, 6.09174498, 4.57892352, 785.47173078, 382.83413790, 64.35657700, 437.47931758, -414.90431898
232.96828288, 10000.06507162, 6.08932860, 6.05857579, 4.54864032, 26305.15559231, 0.71504636, 0.02961512, 52.24849943, 1.57098184, 752.04039874, 738.13230679, 200.51037118, 6.06555705, 6.07595907, 4.55303243, 962.87691759, 806.93944847, 54.88185694, 336.83327046, -495.64206620
272.69566460, 10000.01256138, 6.03423955, 6.03477375, 4.55046817, 26305.23246866, 0.22881801, 0.09802667, 50.86245068, 1.56299571, 751.46571313, 784.86537569, 276.65730896, 6.09610378, 6.00336512, 4.54531706, 920.46287110, 609.39368687, 76.22940492, 295.22366221, -585.43189955
