r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
190.08000000, 10000.00000000, 6.00000000, 6.00000000, 4.50000000, 26305.14000000, 10.05000000, 0.00044000, 52.50000000, 1.49000000, 2160.00000000, 2160.00000000, 427.50000000, 6.00000000, 6.00000000, 4.50000000, 1710.00000000, 3718.50000000, 74.18500000, 222.39500000, -1341.85988802
