r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
285.63712912, 9999.99998855, 6.00008215, 6.00009490, 4.49998322, 26305.14000470, 7.01027523, 0.00041208, 43.97281608, 1.48999286, 720.02404935, 843.27064172, 450.38915968, 5.99999814, 6.00000461, 4.50000327, 720.03054775, 1138.31590882, 124.87788932, 336.96326581, -570.87923184
