r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
261.11382094, 10000.07048390, 6.01853697, 6.06865170, 4.58568818, 26305.22390926, 0.76980715, 0.00200762, 5.81797277, 1.51054567, 721.43309360, 720.45068551, 180.02364706, 6.02638011, 6.07195703, 4.50776141, 720.75982914, 284.52459590, 39.03394037, 293.56245978, -529.38289717
318.80454674, 10000.08571127, 6.00254495, 6.09708625, 4.58444442, 26305.14090019, 0.29275155, 0.00415449, 36.73443574, 1.50644514, 720.42198620, 720.56798059, 180.04322965, 6.07271072, 6.09558860, 4.59305055, 720.58143484, 228.82012469, 18.43093161, 379.07429891, -525.87354417
212.95552138, 10000.04400947, 6.09561566, 6.00932763, 4.55176023, 26305.18989830, 0.51246591, 0.00205003, 8.44006563, 1.54099368, 720.08193898, 721.37333437, 180.72516454, 6.00008004, 6.03288970, 4.59416273, 720.25628527, 108.24115883, 143.50558188, 381.72658954, -532.01101939
311.94070311, 10000.01024085, 6.08126958, 6.07923504, 4.51239044, 26305.20480304, 0.19031450, 0.01921319, 15.21931575, 1.49019892, 720.04968972, 720.93637885, 181.61168753, 6.06159588, 6.05241499, 4.54926411, 720.04123997, 82.96118749, 106.48297196, 314.11848358, -529.98349140
128.50925734, 10000.01480799, 6.05782563, 6.06783332, 4.57195925, 26305.22699257, 0.13194814, 0.01437772, 8.41265460, 1.56306418, 720.13202359, 720.11079296, 180.10809209, 6.08636745, 6.00544272, 4.55627012, 721.31962436, 78.39130122, 134.06957772, 121.41583996, -533.56689761
285.97804675, 10000.02509128, 6.06053003, 6.08867301, 4.58396111, 26305.16654665, 0.18730812, 0.00181329, 11.82308588, 1.49333220, 720.27732154, 720.52692265, 180.47991620, 6.01475734, 6.04968963, 4.55860040, 720.65780408, 82.90000051, 135.00631529, 380.13026017, -534.89389812
280.02430190, 10000.09236014, 6.07810214, 6.09429324, 4.51435288, 26305.19104229, 0.27087799, 0.00072093, 13.37664273, 1.51389326, 720.54126561, 720.01214065, 180.40653787, 6.07718248, 6.05870058, 4.53076961, 721.19179860, 134.53826054, 35.36443133, 320.38329893, -534.10011625
295.70238347, 10000.05798135, 6.07603784, 6.00595543, 4.51849632, 26305.22895477, 0.23195079, 0.01071850, 7.14970819, 1.57134953, 720.12987771, 720.25291352, 181.65673385, 6.07987143, 6.01294220, 4.58505837, 720.15793114, 94.07083678, 129.36710599, 246.92289485, -532.18568548
315.13019795, 10000.08790177, 6.04108108, 6.03554424, 4.59508583, 26305.14771887, 0.28810099, 0.00565150, 36.07952467, 1.50513366, 720.11964437, 720.09423163, 180.09060835, 6.07037517, 6.08754837, 4.53672001, 721.51418726, 94.69229620, 62.56604549, 276.23563736, -524.47341709
104.61052713, 10000.06252130, 6.00453516, 6.02130454, 4.57699956, 26305.14770833, 0.14581899, 0.01731590, 8.49639320, 1.57194623, 720.36540963, 721.96444947, 180.11308051, 6.05533903, 6.01734216, 4.59630991, 720.03124051, 85.89163065, 27.92789757, 379.66872012, -534.38522144
