r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
336.30755025, 10000.06446281, 6.09902899, 6.00125141, 4.59998917, 26305.22186966, 0.09990000, 0.00034000, 5.00002899, 1.48997424, 719.99990000, 3600.10000000, 675.09965003, 6.08054724, 6.08356412, 4.56420433, 2700.10000000, 324.72770607, 147.29326209, 441.99580490, -3041.04608768
329.77709941, 10000.00777271, 6.09110955, 6.00006901, 4.59897428, 26305.19284954, 0.09990000, 0.00034000, 4.99990000, 1.48990000, 719.99990000, 3600.10000000, 675.10000000, 6.02720495, 6.07810860, 4.57143668, 2700.10000000, 327.45831980, 146.98803486, 403.33411039, -3041.04606931
341.91500181, 10000.00230269, 6.10000000, 5.99990000, 4.60000000, 26305.14425198, 0.09990000, 0.00034000, 4.99990000, 1.48990000, 719.99990000, 3600.10000000, 675.10000000, 6.09424502, 6.04774085, 4.52417792, 2700.10000000, 329.85859112, 144.94893425, 429.36055404, -3041.04612967
340.99348053, 10000.00328344, 6.08441388, 5.99990000, 4.60000000, 26305.17881447, 0.09990000, 0.00034000, 4.99990000, 1.48990000, 719.99990000, 3600.10000000, 675.10000000, 6.03929433, 6.03698964, 4.52712308, 2700.10000000, 333.24089272, 147.80808872, 433.72786249, -3041.04613711
345.14051882, 10000.03026763, 6.09085270, 6.00041806, 4.59864472, 26305.23009421, 0.09990000, 0.00034000, 4.99990000, 1.48990000, 719.99990000, 3600.10000000, 675.10000000, 6.04341064, 6.02263787, 4.51155185, 2700.09948307, 331.95174130, 142.43872960, 417.52861984, -3041.04607540
343.80323551, 10000.01205084, 6.10000000, 5.99990000, 4.60000000, 26305.18642098, 0.09990000, 0.00034000, 4.99990000, 1.48990000, 719.99990000, 3600.10000000, 675.10000000, 6.09940370, 6.03941473, 4.51433264, 2700.10000000, 343.41442253, 145.29005595, 441.54186121, -3041.04617801
345.06879458, 10000.02802753, 6.09603700, 6.00062823, 4.59677273, 26305.21674207, 0.09990000, 0.00034000, 4.99990000, 1.48990000, 719.99990000, 3600.10000000, 675.09995116, 6.08992123, 6.09082427, 4.56848271, 2700.09976512, 327.00914848, 143.48599432, 417.85761058, -3041.04607084
343.47434471, 10000.00221965, 6.08567859, 6.00022354, 4.59941463, 26305.20920411, 0.09990000, 0.00034000, 4.99990000, 1.48990000, 719.99990000, 3600.10000000, 675.09960758, 6.03327976, 6.06320318, 4.55466878, 2700.10000000, 318.34823648, 147.88453521, 435.84622620, -3041.04609192
345.68000000, 9999.99990000, 6.10000000, 5.99990000, 4.60000000, 26305.13990000, 0.09990000, 0.00034000, 4.99990000, 1.48990000, 719.99990000, 3600.10000000, 675.10000000, 5.99990000, 5.99990000, 4.50070479, 2700.10000000, 37.05568582, 148.10000000, 444.52000000, -3041.03951168
327.74342621, 10000.02056741, 6.10000000, 5.99990000, 4.60000000, 26305.22048558, 0.09990000, 0.00034000, 4.99990000, 1.48990000, 719.99990000, 3600.10000000, 675.10000000, 6.06114425, 6.04913867, 4.53385197, 2700.10000000, 323.25880479, 145.52845183, 430.71374639, -3041.04608751
